State,City,Avg_Sleepiness,People_Queried_About_Sleep,raw_Crashes_per_Year,Avg_Crash_Severity,Percent_Morning_Crashes,Percent_Evening_Crashes,Crashes_per_Year
CA,Clovis,33.34%,26,2.25,1.888888889,33.33%,66.67%,0.0865384615384615
CA,Chino Hills,36.59%,14,0.5,2,50.00%,50.00%,0.0357142857142857
CA,Compton,41.29%,31,10.75,2.5,55.81%,44.19%,0.346774193548387
CA,Baldwin Park,37.68%,20,16.25,2.107692308,64.62%,35.38%,0.8125
CA,Berkeley,31.64%,35,8.25,2.121212121,63.64%,36.36%,0.235714285714286
CA,Concord,33.17%,58,9.5,1.973684211,68.42%,31.58%,0.163793103448276
CA,Carson,38.53%,22,9.5,2.105263158,73.68%,26.32%,0.431818181818182
CA,Citrus Heights,35.32%,25,2,2,62.50%,37.50%,0.08
CA,Bellflower,38.26%,20,3.5,2,64.29%,35.71%,0.175
CA,Apple Valley,37.88%,15,1,2,75.00%,25.00%,0.0666666666666667
CA,Irvine,31.19%,39,19.25,2.077922078,51.95%,48.05%,0.493589743589744
CA,Fresno,36.51%,128,28.25,2.017699115,60.18%,39.82%,0.220703125
CA,El Cajon,34.85%,30,1.5,2,100.00%,16.67%,0.05
CA,Garden Grove,35.55%,46,7.5,2.166666667,50.00%,50.00%,0.16304347826087
CA,Hayward,36.56%,40,22.75,2.043956044,69.23%,30.77%,0.56875
CA,Elk Grove,36.48%,30,8.5,2,64.71%,35.29%,0.283333333333333
CA,Fremont,34.52%,45,14,2.089285714,66.07%,33.93%,0.311111111111111
CA,Fontana,39.64%,37,11.5,2.152173913,56.52%,43.48%,0.310810810810811
CA,El Monte,38.89%,33,6.25,2.04,64.00%,36.00%,0.189393939393939
CA,Escondido,34.10%,37,12.75,2.078431373,52.94%,47.06%,0.344594594594595
CA,Hawthorne,39.90%,26,9.5,2.236842105,73.68%,26.32%,0.365384615384615
CA,Fullerton,32.35%,35,4.5,2.5,77.78%,22.22%,0.128571428571429
CA,Fairfield,37.58%,29,14,1.982142857,60.71%,39.29%,0.482758620689655
CA,Downey,35.72%,24,11.75,2.127659574,61.70%,38.30%,0.489583333333333
CA,Glendale,36.16%,108,16.25,2.123076923,56.92%,43.08%,0.150462962962963
CA,Folsom,33.33%,19,1.75,1.857142857,71.43%,28.57%,0.0921052631578947
CA,Long Beach,37.59%,112,33.5,2.082089552,64.93%,35.07%,0.299107142857143
CA,Hemet,37.89%,26,0.75,2,66.67%,33.33%,0.0288461538461538
CA,Inglewood,40.78%,34,10,2.1,57.50%,42.50%,0.294117647058824
CA,Lancaster,38.71%,36,16,2.078125,48.44%,51.56%,0.444444444444444
CA,Hesperia,39.04%,19,7.25,2.24137931,55.17%,44.83%,0.381578947368421
CA,Livermore,32.60%,21,14.25,2.035087719,63.16%,36.84%,0.678571428571429
CA,Lake Forest,31.12%,18,6,2.416666667,58.33%,41.67%,0.333333333333333
CA,Lakewood,29.85%,67,3.25,2.307692308,84.62%,15.38%,0.0485074626865672
US,2.5,34.85%,2,0.75,2,33.33%,33.33%,0.375
CA,Los Angeles,36.92%,1005,243.75,2.08,58.46%,41.54%,0.242537313432836
CA,Newport Beach,27.44%,24,1.25,2.4,20.00%,80.00%,0.0520833333333333
CA,Murrieta,37.01%,20,4.5,2,27.78%,72.22%,0.225
CA,Norwalk,35.95%,47,13.75,2.072727273,65.45%,34.55%,0.292553191489362
CA,Manteca,35.07%,19,3.5,2.5,57.14%,42.86%,0.184210526315789
CA,Mission Viejo,29.74%,25,7,2.142857143,71.43%,28.57%,0.28
CA,Napa,32.64%,26,7.25,2,62.07%,37.93%,0.278846153846154
CA,Modesto,36.62%,50,12.25,1.979591837,51.02%,48.98%,0.245
CA,Mountain View,29.78%,23,5.5,2,68.18%,31.82%,0.239130434782609
CA,Merced,37.81%,22,3,2.166666667,25.00%,75.00%,0.136363636363636
CA,Milpitas,34.08%,19,5,2.05,75.00%,25.00%,0.263157894736842
CA,Moreno Valley,41.10%,46,9.5,2.026315789,42.11%,57.89%,0.206521739130435
CA,Menifee,36.76%,25,3,2,50.00%,50.00%,0.12
CA,Lynwood,39.75%,14,9.5,2.131578947,50.00%,50.00%,0.678571428571429
CA,Pleasanton,31.46%,16,7.75,2.161290323,77.42%,22.58%,0.484375
CA,Pomona,37.84%,35,24.25,2.103092784,50.52%,49.48%,0.692857142857143
CA,Richmond,38.40%,99,50.5,1.965346535,68.81%,31.19%,0.51010101010101
CA,Oakland,37.24%,115,41.75,2.113772455,61.68%,38.32%,0.36304347826087
CA,Ontario,38.95%,41,35.5,2.056338028,65.49%,34.51%,0.865853658536585
CA,Oceanside,33.04%,36,5.75,2.043478261,52.17%,47.83%,0.159722222222222
CA,Oxnard,37.14%,41,3,2,33.33%,66.67%,0.0731707317073171
CA,Palmdale,38.70%,41,6,2.083333333,54.17%,45.83%,0.146341463414634
CA,Orange,31.53%,36,12.5,2.14,58.00%,42.00%,0.347222222222222
CA,Redding,31.40%,32,4.25,2.5,47.06%,52.94%,0.1328125
CA,Rialto,40.09%,31,5.25,2,42.86%,57.14%,0.169354838709677
CA,Rancho Cucamonga,36.94%,31,7.25,2.068965517,51.72%,48.28%,0.233870967741935
CA,Redwood City,31.24%,23,11.25,2.111111111,75.56%,24.44%,0.489130434782609
CA,Redlands,35.43%,19,12.75,2.176470588,43.14%,56.86%,0.671052631578947
CA,Pasadena,34.42%,77,15,2.133333333,71.67%,28.33%,0.194805194805195
CA,Redondo Beach,32.48%,15,0.75,2,66.67%,33.33%,0.05
CA,Perris,41.58%,13,8,2.125,43.75%,56.25%,0.615384615384615
CA,San Diego,33.35%,298,89.5,2.089385475,60.89%,39.11%,0.300335570469799
CA,Sacramento,37.73%,120,103.25,2.026634383,59.56%,40.44%,0.860416666666667
CA,Riverside,38.67%,76,41.5,2.108433735,61.45%,38.55%,0.546052631578947
CA,Roseville,30.82%,32,8.5,2.058823529,55.88%,44.12%,0.265625
CA,San Bernardino,41.34%,58,36.25,2.068965517,64.83%,35.17%,0.625
CA,Salinas,35.08%,35,10.25,2,53.66%,46.34%,0.292857142857143
CO,Denver,28.41%,145,44.25,2.644067797,76.84%,23.16%,0.305172413793103
CA,San Francisco,30.36%,197,27.25,2.036697248,65.14%,34.86%,0.138324873096447
CA,San Jose,32.82%,221,52.25,2.062200957,57.42%,42.58%,0.236425339366516
CA,San Leandro,36.15%,22,8.5,2.088235294,67.65%,32.35%,0.386363636363636
CA,San Mateo,31.03%,28,10.75,2.5,60.47%,39.53%,0.383928571428571
CA,San Ramon,31.76%,18,2,1.875,50.00%,50.00%,0.111111111111111
CA,San Marcos,33.24%,20,7.25,2.137931034,58.62%,41.38%,0.3625
CT,Waterbury,40.85%,30,4,2.0625,68.75%,31.25%,0.133333333333333
CA,Santa Barbara,26.48%,26,5.5,2.090909091,50.00%,50.00%,0.211538461538462
CA,Stockton,37.77%,74,13,1.980769231,53.85%,46.15%,0.175675675675676
CA,Simi Valley,33.95%,30,2.5,2.1,70.00%,30.00%,0.0833333333333333
CA,Tracy,35.59%,17,12.75,1.980392157,54.90%,45.10%,0.75
CA,Sunnyvale,30.77%,33,5.25,2.19047619,80.95%,19.05%,0.159090909090909
CA,Turlock,35.64%,17,3.75,2,86.67%,13.33%,0.220588235294118
CA,Santa Ana,35.47%,63,15,2.033333333,66.67%,33.33%,0.238095238095238
CA,Santa Clara,31.33%,27,5.75,2.086956522,69.57%,30.43%,0.212962962962963
CA,Santa Rosa,33.61%,38,12.25,2.142857143,51.02%,48.98%,0.322368421052632
CA,Upland,36.62%,19,6.75,2.037037037,33.33%,66.67%,0.355263157894737
CA,Santa Clarita,34.24%,51,2.25,2,33.33%,66.67%,0.0441176470588235
CA,Union City,39.59%,38,7,2.25,75.00%,25.00%,0.184210526315789
CA,Temecula,37.23%,24,6.75,2.074074074,40.74%,59.26%,0.28125
CA,Vacaville,35.78%,23,4.5,2,55.56%,44.44%,0.195652173913043
CA,Tustin,32.71%,24,12,2.5,68.75%,31.25%,0.5
CA,Torrance,34.35%,32,5.75,2,69.57%,30.43%,0.1796875
CA,Thousand Oaks,31.73%,32,1.25,2.4,60.00%,40.00%,0.0390625
CA,South Gate,37.95%,22,3.25,2.076923077,84.62%,15.38%,0.147727272727273
CA,Santa Monica,31.68%,21,3.5,2.071428571,64.29%,35.71%,0.166666666666667
CA,Santa Maria,31.15%,21,4.25,2,35.29%,64.71%,0.202380952380952
CA,Vista,34.25%,29,4.5,2,38.89%,61.11%,0.155172413793103
CA,Westminster,32.03%,60,6,2.583333333,62.50%,37.50%,0.1
CO,Colorado Springs,30.25%,107,11,2.386363636,79.55%,20.45%,0.102803738317757
CO,Boulder,24.03%,30,1,3.25,100.00%,25.00%,0.0333333333333333
CO,Arvada,26.73%,36,0.75,3,66.67%,33.33%,0.0208333333333333
CA,Whittier,34.52%,25,22.5,2.033333333,62.22%,37.78%,0.9
CA,West Covina,35.94%,34,11.25,2,64.44%,35.56%,0.330882352941176
CA,Visalia,32.67%,24,5,2,40.00%,60.00%,0.208333333333333
CA,Vallejo,38.74%,35,7.25,2.103448276,55.17%,44.83%,0.207142857142857
CA,Victorville,39.76%,22,1.75,2,14.29%,85.71%,0.0795454545454545
CT,Bridgeport,40.85%,40,3.25,2.384615385,30.77%,69.23%,0.08125
CO,Lakewood,29.85%,67,3.25,2.307692308,84.62%,15.38%,0.0485074626865672
CO,Greeley,29.11%,39,1.25,2.8,80.00%,20.00%,0.0320512820512821
CO,Fort Collins,26.48%,49,1,2.5,50.00%,50.00%,0.0204081632653061
CT,Hartford,41.40%,42,10.5,2.261904762,66.67%,33.33%,0.25
CT,New Britain,37.04%,23,1.75,2.285714286,57.14%,42.86%,0.0760869565217391
CO,Westminster,32.03%,60,6,2.583333333,62.50%,37.50%,0.1
CO,Loveland,26.53%,18,1.75,2.428571429,100.00%,14.29%,0.0972222222222222
CT,Stamford,34.26%,27,2.25,2.444444444,44.44%,55.56%,0.0833333333333333
CO,Longmont,26.10%,23,0.25,3,100.00%,100.00%,0.0108695652173913
CT,New Haven,40.44%,33,3.75,2.333333333,60.00%,40.00%,0.113636363636364
CT,Danbury,36.07%,17,2.75,2.363636364,18.18%,81.82%,0.161764705882353
CT,Norwalk,35.95%,47,13.5,2.074074074,64.81%,35.19%,0.287234042553191
CO,Pueblo,34.57%,41,1.5,3,50.00%,50.00%,0.0365853658536585
CO,Thornton,31.50%,36,2.5,2.4,60.00%,40.00%,0.0694444444444444
IL,Bloomington,31.51%,73,7,2,53.57%,46.43%,0.0958904109589041
FL,Clearwater,38.16%,38,9.25,2.054054054,62.16%,37.84%,0.243421052631579
FL,Fort Lauderdale,37.66%,53,36.75,2.299319728,63.27%,36.73%,0.693396226415094
DC,Washington,37.61%,181,25.5,2.519607843,60.78%,39.22%,0.140883977900552
DE,Wilmington,37.30%,59,5.25,2.285714286,61.90%,38.10%,0.0889830508474576
FL,Deltona,38.07%,20,0.25,3,100.00%,100.00%,0.0125
FL,Cape Coral,33.18%,32,0.75,2.666666667,33.33%,66.67%,0.0234375
FL,Boca Raton,34.35%,29,6.75,2.5,70.37%,29.63%,0.232758620689655
FL,Gainesville,37.07%,41,5,2.45,45.00%,55.00%,0.121951219512195
FL,Hollywood,36.87%,37,11.75,2.340425532,53.19%,46.81%,0.317567567567568
FL,Boynton Beach,38.73%,26,2.75,2,90.91%,9.09%,0.105769230769231
FL,Coral Springs,36.43%,28,0.75,2.666666667,100.00%,33.33%,0.0267857142857143
FL,Deerfield Beach,37.04%,19,3.25,2.307692308,53.85%,46.15%,0.171052631578947
FL,Hialeah,33.86%,45,18.75,2.213333333,66.67%,33.33%,0.416666666666667
FL,Davie,35.11%,24,0.25,4,100.00%,100.00%,0.0104166666666667
FL,Lakeland,35.78%,45,1.25,2.2,60.00%,40.00%,0.0277777777777778
FL,Jacksonville,38.60%,185,43.5,2.16091954,49.43%,50.57%,0.235135135135135
FL,Miami,35.50%,106,223,2.167040359,62.22%,37.78%,2.10377358490566
FL,Melbourne,35.52%,27,5.75,2.173913043,60.87%,39.13%,0.212962962962963
FL,Palm Bay,37.17%,18,1.5,1.5,83.33%,16.67%,0.0833333333333333
FL,Orlando,37.46%,82,95.25,2.118110236,65.88%,34.12%,1.16158536585366
FL,Miami Beach,31.00%,31,2,2,75.00%,25.00%,0.0645161290322581
FL,Largo,38.02%,38,3.5,2.285714286,64.29%,35.71%,0.0921052631578947
FL,Palm Coast,34.47%,18,1.5,2.166666667,33.33%,66.67%,0.0833333333333333
FL,Miami Gardens,41.44%,26,3.5,2.071428571,57.14%,42.86%,0.134615384615385
FL,Lauderhill,44.14%,17,0.25,2.5,100.00%,100.00%,0.0147058823529412
FL,Tampa,36.28%,114,35.75,2.111888112,69.23%,30.77%,0.31359649122807
GA,Atlanta,39.54%,133,75.75,2.481848185,56.44%,43.56%,0.569548872180451
FL,St. Petersburg,40.02%,73,0.5,2.5,50.00%,50.00%,0.00684931506849315
FL,Tallahassee,34.65%,62,10.75,1.930232558,51.16%,48.84%,0.173387096774194
FL,Plantation,35.88%,22,0.25,2,100.00%,100.00%,0.0113636363636364
FL,West Palm Beach,41.50%,35,12,2.25,64.58%,35.42%,0.342857142857143
FL,Pembroke Pines,36.03%,32,0.5,2,50.00%,50.00%,0.015625
FL,Pompano Beach,37.47%,28,5.75,2.565217391,69.57%,30.43%,0.205357142857143
GA,Albany,42.88%,55,13.25,2.245283019,49.06%,50.94%,0.240909090909091
GA,Athens,37.41%,32,1.25,2.6,40.00%,60.00%,0.0390625
GA,Macon,43.20%,38,3,2.416666667,91.67%,8.33%,0.0789473684210526
GA,Savannah,41.68%,56,2.75,2.181818182,81.82%,18.18%,0.0491071428571429
GA,Augusta,42.99%,49,2.75,1.909090909,90.91%,9.09%,0.0561224489795918
GA,Columbus,40.25%,293,24,2.427083333,76.04%,23.96%,0.0819112627986348
GA,Warner Robins,39.13%,21,0.75,3.333333333,33.33%,100.00%,0.0357142857142857
ID,Meridian,28.19%,10,2.5,2,50.00%,50.00%,0.25
ID,Nampa,33.14%,17,2.75,2,27.27%,72.73%,0.161764705882353
GA,Roswell,32.55%,20,0.75,3,33.33%,66.67%,0.0375
IL,Champaign,30.54%,24,0.25,4,100.00%,100.00%,0.0104166666666667
IL,Aurora,32.42%,132,9.25,2.297297297,72.97%,27.03%,0.0700757575757576
IL,Bolingbrook,34.41%,19,1.25,2.8,80.00%,20.00%,0.0657894736842105
IL,Arlington Heights,29.81%,25,0.5,2.5,100.00%,50.00%,0.02
IN,Indianapolis,37.25%,216,29.25,2.393162393,59.83%,40.17%,0.135416666666667
IL,Chicago,36.83%,799,73,2.743150685,52.40%,47.60%,0.0913642052565707
IL,Peoria,34.61%,90,1.75,1.714285714,85.71%,14.29%,0.0194444444444444
IL,Palatine,31.01%,17,1,2.5,75.00%,25.00%,0.0588235294117647
IL,Evanston,31.03%,20,0.75,4,100.00%,33.33%,0.0375
IL,Cicero,36.35%,18,0.75,2,100.00%,33.33%,0.0416666666666667
IL,Elgin,34.46%,30,6,2.375,41.67%,58.33%,0.2
IL,Naperville,30.19%,39,3.5,2.642857143,71.43%,28.57%,0.0897435897435897
IL,Decatur,34.62%,31,7,2.678571429,50.00%,50.00%,0.225806451612903
IL,Waukegan,37.65%,28,7.5,2.566666667,73.33%,26.67%,0.267857142857143
IL,Springfield,35.23%,141,22.5,2.5,58.89%,41.11%,0.159574468085106
IN,Fort Wayne,33.22%,82,0.25,2,100.00%,100.00%,0.00304878048780488
IL,Schaumburg,31.53%,28,1.75,2.571428571,100.00%,14.29%,0.0625
IN,Evansville,36.62%,46,1.75,2.571428571,42.86%,57.14%,0.0380434782608696
IL,Rockford,39.33%,58,1,3,50.00%,50.00%,0.0172413793103448
IN,Hammond,41.13%,21,1,2.25,50.00%,50.00%,0.0476190476190476
IN,Bloomington,31.51%,73,7,2,53.57%,46.43%,0.0958904109589041
IN,Fishers,31.08%,11,0.5,2.5,100.00%,50.00%,0.0454545454545455
IN,Gary,48.61%,33,4,2.5625,68.75%,31.25%,0.121212121212121
IN,Carmel,29.77%,17,1.25,2.4,80.00%,20.00%,0.0735294117647059
KS,Kansas City,38.78%,234,44.75,2.396648045,63.69%,36.31%,0.191239316239316
IA,Davenport,30.61%,36,3.25,2.153846154,61.54%,38.46%,0.0902777777777778
IA,Cedar Rapids,28.31%,40,2.25,2,66.67%,33.33%,0.05625
IA,Sioux City,29.43%,25,0.5,2,50.00%,50.00%,0.02
KS,Olathe,27.84%,30,2.25,2.333333333,66.67%,33.33%,0.075
IN,Lafayette,36.31%,58,4,2.25,68.75%,31.25%,0.0689655172413793
IA,Waterloo,30.66%,29,0.25,2,100.00%,100.00%,0.00862068965517241
IA,Des Moines,32.56%,62,5,2.35,55.00%,45.00%,0.0806451612903226
IN,South Bend,40.87%,47,0.25,2.5,100.00%,100.00%,0.00531914893617021
IA,Iowa City,27.01%,19,0.75,2.666666667,100.00%,33.33%,0.0394736842105263
KS,Overland Park,25.68%,51,4.5,2.166666667,66.67%,33.33%,0.0882352941176471
KS,Topeka,32.72%,41,0.25,4,100.00%,100.00%,0.00609756097560976
KS,Lawrence,35.02%,40,0.25,4,100.00%,100.00%,0.00625
KS,Wichita,35.85%,112,1.25,2.6,60.00%,40.00%,0.0111607142857143
KY,Louisville,37.91%,185,19.25,2.272727273,74.03%,25.97%,0.104054054054054
KY,Lexington,39.28%,84,12.25,2.102040816,61.22%,38.78%,0.145833333333333
LA,Kenner,39.03%,20,1,2.75,50.00%,50.00%,0.05
LA,Lafayette,36.31%,58,4,2.25,68.75%,31.25%,0.0689655172413793
MA,Boston,35.84%,178,2.75,2.181818182,72.73%,27.27%,0.0154494382022472
LA,New Orleans,41.32%,177,34.25,2,44.53%,55.47%,0.193502824858757
MD,Baltimore,43.48%,202,15.75,2.349206349,68.25%,31.75%,0.077970297029703
MA,Brockton,44.33%,23,0.5,2.5,50.00%,50.00%,0.0217391304347826
MA,Cambridge,31.70%,34,2,2.125,37.50%,62.50%,0.0588235294117647
ME,Portland,30.72%,184,87.25,2.068767908,70.49%,29.51%,0.474184782608696
MI,Dearborn,39.21%,26,2.75,2.272727273,100.00%,9.09%,0.105769230769231
MI,Ann Arbor,30.80%,38,2.25,2.888888889,66.67%,33.33%,0.0592105263157895
MA,Lowell,37.09%,27,3,2.5,33.33%,66.67%,0.111111111111111
MA,Lawrence,35.02%,40,0.25,4,100.00%,100.00%,0.00625
MA,Fall River,39.73%,27,0.75,2.333333333,100.00%,33.33%,0.0277777777777778
MA,Springfield,35.23%,141,22.5,2.244444444,58.89%,41.11%,0.159574468085106
MA,Somerville,32.25%,20,0.25,2,100.00%,100.00%,0.0125
MA,Newton,29.03%,20,0.75,2.666666667,33.33%,66.67%,0.0375
MA,New Bedford,40.57%,33,0.25,2,100.00%,100.00%,0.00757575757575758
MA,Quincy,34.17%,22,3,2.083333333,41.67%,58.33%,0.136363636363636
MS,Jackson,41.25%,56,8.5,2.058823529,64.71%,35.29%,0.151785714285714
MI,Lansing,39.33%,47,5.5,3.090909091,59.09%,40.91%,0.117021276595745
MI,Detroit,50.03%,298,31.25,2.32,60.80%,39.20%,0.104865771812081
MI,Troy,32.35%,24,4.25,2.647058824,52.94%,47.06%,0.177083333333333
MI,Flint,49.49%,42,13.25,2.113207547,54.72%,45.28%,0.31547619047619
MI,Kalamazoo,38.94%,25,1,2.5,75.00%,25.00%,0.04
MI,Warren,39.37%,45,2.5,2.8,100.00%,10.00%,0.0555555555555556
MI,Southfield,39.59%,25,2.75,2.545454545,54.55%,45.45%,0.11
MI,Sterling Heights,37.19%,29,1,2.5,100.00%,25.00%,0.0344827586206897
MI,Wyoming,36.40%,18,3,2.166666667,66.67%,33.33%,0.166666666666667
MN,Duluth,32.81%,38,2.75,2.181818182,18.18%,81.82%,0.0723684210526316
MI,Grand Rapids,36.31%,54,17.75,2.211267606,53.52%,46.48%,0.328703703703704
MN,Bloomington,31.51%,73,7,2,53.57%,46.43%,0.0958904109589041
MI,Livonia,35.73%,33,1.75,2.285714286,57.14%,42.86%,0.053030303030303
MN,Minneapolis,31.01%,118,79.5,2.116352201,51.89%,48.11%,0.673728813559322
MO,Columbia,36.63%,94,24.25,2.18556701,52.58%,47.42%,0.257978723404255
MN,Rochester,38.27%,117,30.75,2.219512195,65.04%,34.96%,0.262820512820513
MO,Independence,36.41%,33,6.5,2.115384615,61.54%,38.46%,0.196969696969697
MN,Plymouth,26.80%,17,3,2.666666667,75.00%,25.00%,0.176470588235294
MS,Gulfport,38.50%,24,0.75,1.666666667,100.00%,33.33%,0.03125
MO,Kansas City,38.78%,234,43.25,2.404624277,63.58%,36.42%,0.18482905982906
NJ,Jersey City,43.77%,68,3.5,2.214285714,85.71%,14.29%,0.0514705882352941
NE,Lincoln,28.28%,74,2,2.375,75.00%,25.00%,0.027027027027027
NV,Henderson,38.27%,70,3,2.916666667,50.00%,50.00%,0.0428571428571429
MT,Billings,30.49%,30,1.75,2,14.29%,85.71%,0.0583333333333333
NE,Omaha,31.81%,149,10.75,2.209302326,67.44%,32.56%,0.0721476510067114
MO,Springfield,35.23%,141,22.5,2.244444444,58.89%,41.11%,0.159574468085106
MT,Missoula,27.95%,18,1.25,2,20.00%,80.00%,0.0694444444444444
NH,Manchester,36.30%,31,3,2.25,91.67%,8.33%,0.0967741935483871
NV,Sparks,33.96%,28,3,2.333333333,50.00%,50.00%,0.107142857142857
NV,Las Vegas,40.61%,158,10,2.225,65.00%,35.00%,0.0632911392405063
NJ,Newark,50.07%,89,20,2.2875,70.00%,30.00%,0.224719101123596
NJ,Paterson,43.82%,35,1.25,2.4,40.00%,60.00%,0.0357142857142857
NJ,Union City,39.59%,38,7,2.25,75.00%,25.00%,0.184210526315789
NJ,Passaic,41.18%,16,0.75,2.333333333,66.67%,33.33%,0.046875
NJ,Trenton,46.15%,27,5.5,2.227272727,63.64%,36.36%,0.203703703703704
NV,Reno,33.47%,73,4.25,2.294117647,70.59%,29.41%,0.0582191780821918
NJ,Elizabeth,44.11%,28,2.25,2.444444444,77.78%,22.22%,0.0803571428571429
NH,Nashua,35.10%,20,2.25,2,55.56%,44.44%,0.1125
